[1.5778224E12, 7173.75000000, 7208.41000000, 7165.10000000, 7195.23000000, 2091.72017600, 1.577836799999E12, 15032938.06298061, 29738.0, 1010.62811400, 7263338.98247078, 0]
[1.5778368E12, 7195.24000000, 7245.00000000, 7175.46000000, 7225.01000000, 2833.74918000, 1.577851199999E12, 20445895.80179560, 32476.0, 1548.86561900, 11176594.41972043, 0]
[1.5778512E12, 7225.00000000, 7236.27000000, 7199.11000000, 7209.83000000, 2061.29505100, 1.577865599999E12, 14890182.27509305, 29991.0, 1049.71123600, 7582850.37593562, 0]
[1.5778656E12, 7209.83000000, 7237.73000000, 7180.00000000, 7197.20000000, 3166.65436100, 1.577879999999E12, 22807318.59055887, 33507.0, 1562.34431400, 11253695.89627296, 0]
[1.57788E12, 7197.20000000, 7255.00000000, 7196.15000000, 7234.19000000, 3492.53745900, 1.577894399999E12, 25235559.66071409, 36549.0, 2086.27911900, 15076709.32825345, 0]
[1.5778944E12, 7234.20000000, 7249.99000000, 7214.00000000, 7229.48000000, 2980.58329100, 1.577908799999E12, 21561774.16981082, 32877.0, 1673.06059400, 12104158.06723686, 0]
[1.5779088E12, 7229.48000000, 7242.98000000, 7175.15000000, 7200.85000000, 2257.56882300, 1.577923199999E12, 16273721.61808985, 28610.0, 1026.69465300, 7403777.12491502, 0]
[1.5779232E12, 7200.77000000, 7212.50000000, 7120.37000000, 7129.61000000, 3739.35483200, 1.577937599999E12, 26789555.88832981, 41321.0, 1739.23444300, 12463103.02396427, 0]
[1.5779376E12, 7129.25000000, 7161.00000000, 7105.00000000, 7110.57000000, 4057.96135500, 1.577951999999E12, 28945573.83354037, 40753.0, 1814.54172000, 12944586.90214649, 0]
[1.577952E12, 7110.98000000, 7180.00000000, 7109.11000000, 7139.79000000, 4162.20301000, 1.577966399999E12, 29771688.32422764, 41502.0, 2122.93353800, 15185516.04679916, 0]
[1.5779664E12, 7139.73000000, 7163.40000000, 7107.43000000, 7130.98000000, 4179.04183300, 1.577980799999E12, 29821656.36588822, 41933.0, 1929.32310500, 13771352.26269946, 0]
[1.5779808E12, 7130.37000000, 7146.85000000, 6924.74000000, 6983.27000000, 12699.02823300, 1.577995199999E12, 88967851.70900555, 101577.0, 5985.88601100, 41902588.27541364, 0]
[1.5779952E12, 6982.63000000, 6985.00000000, 6941.27000000, 6965.71000000, 3113.89466900, 1.578009599999E12, 21686015.18014871, 35581.0, 1549.69252300, 10793682.56704162, 0]
[1.5780096E12, 6965.49000000, 6966.80000000, 6871.04000000, 6952.04000000, 7625.89678800, 1.578023999999E12, 52836314.59680640, 63802.0, 3610.62128600, 25022824.34185555, 0]
[1.578024E12, 6952.04000000, 7264.71000000, 6948.64000000, 7203.21000000, 17397.30470600, 1.578038399999E12, 124698016.58708977, 112960.0, 9381.14118100, 67265606.05929410, 0]
[1.5780384E12, 7202.28000000, 7371.92000000, 7202.28000000, 7340.46000000, 15196.88502100, 1.578052799999E12, 110976530.27168470, 115788.0, 7829.59847600, 57190407.72452470, 0]
[1.5780528E12, 7340.46000000, 7380.00000000, 7229.30000000, 7320.18000000, 10578.98552900, 1.578067199999E12, 77205179.37214706, 82061.0, 5477.11560500, 39987752.67539163, 0]
[1.5780672E12, 7320.17000000, 7405.00000000, 7280.00000000, 7343.08000000, 11735.08447700, 1.578081599999E12, 86285226.37848328, 86220.0, 6096.29414400, 44839145.24004635, 0]
[1.5780816E12, 7343.62000000, 7361.00000000, 7260.01000000, 7344.96000000, 5894.34393000, 1.578095999999E12, 43097315.75582422, 59023.0, 3200.72558100, 23407377.81061626, 0]
[1.578096E12, 7345.00000000, 7350.00000000, 7280.85000000, 7333.11000000, 3693.78483500, 1.578110399999E12, 27020741.04698006, 40064.0, 1869.49499700, 13677299.23559031, 0]
[1.5781104E12, 7333.14000000, 7369.28000000, 7312.65000000, 7348.11000000, 4519.54989100, 1.578124799999E12, 33194990.95123276, 41378.0, 2399.91059700, 17626716.73224263, 0]
[1.5781248E12, 7348.04000000, 7369.63000000, 7302.10000000, 7336.45000000, 5684.86006500, 1.578139199999E12, 41742234.41284417, 46855.0, 3133.34019300, 23009073.35286105, 0]
[1.5781392E12, 7336.75000000, 7339.58000000, 7291.00000000, 7318.99000000, 4424.83328600, 1.578153599999E12, 32360609.80976774, 43428.0, 2557.99174400, 18708712.94251706, 0]
[1.5781536E12, 7318.98000000, 7404.00000000, 7272.21000000, 7334.83000000, 8358.35610800, 1.578167999999E12, 61270034.59402405, 68263.0, 4590.65141400, 33660335.83118941, 0]
[1.578168E12, 7334.89000000, 7367.31000000, 7310.67000000, 7354.11000000, 3306.59079200, 1.578182399999E12, 24285630.12509933, 39382.0, 1817.99330300, 13352973.62967119, 0]
[1.5781824E12, 7354.19000000, 7482.87000000, 7354.11000000, 7475.99000000, 11311.44984600, 1.578196799999E12, 84134360.45508217, 82614.0, 6254.11202800, 46507627.70152020, 0]
[1.5781968E12, 7476.00000000, 7495.00000000, 7437.40000000, 7463.63000000, 4866.90592800, 1.578211199999E12, 36313085.05456346, 41032.0, 2487.11631200, 18557703.36575589, 0]
[1.5782112E12, 7463.64000000, 7472.00000000, 7400.00000000, 7422.33000000, 5665.07725800, 1.578225599999E12, 42066779.49595185, 47559.0, 2881.11857000, 21394399.72981228, 0]
[1.5782256E12, 7422.27000000, 7476.31000000, 7415.00000000, 7468.42000000, 5088.90842500, 1.578239999999E12, 37891340.46471982, 52899.0, 2507.17780700, 18669683.15069357, 0]
